Gerador,Algoritmo,Vertices,Tempo Médio (s),Qualidade Média
Erdos-Renyi,Aproximado,2,1.326501660514623e-06,2.0
Erdos-Renyi,Aproximado,4,6.075024430174381e-07,2.0
Erdos-Renyi,Aproximado,6,7.34600325813517e-07,1.7
Erdos-Renyi,Aproximado,8,9.871990187093616e-07,1.8166666666666669
Erdos-Renyi,Aproximado,10,1.1398493370506913e-06,1.7816666666666667
Erdos-Renyi,Aproximado,12,1.6927973774727433e-06,1.6961904761904762
Erdos-Renyi,Aproximado,14,1.6430014511570334e-06,1.7267857142857141
Erdos-Renyi,Aproximado,16,1.775300916051492e-06,1.5883333333333334
Erdos-Renyi,Aproximado,18,2.1580497559625654e-06,1.5480050505050504
Erdos-Renyi,Aproximado,20,2.952101931441575e-06,1.507121212121212
Erdos-Renyi,Aproximado,22,2.9898015782237054e-06,1.5411322011322013
Erdos-Renyi,Aproximado,24,3.319100505905226e-06,1.5363145188145189
Erdos-Renyi,Aproximado,26,3.97864860133268e-06,1.4433368347338935
Erdos-Renyi,Aproximado,28,4.599651583703235e-06,1.4931944444444443
Erdos-Renyi,Aproximado,30,4.9830508942250166e-06,1.4827571379428963
Erdos-Renyi,Aproximado,32,5.1685026846826075e-06,1.4259930128351181
Erdos-Renyi,Aproximado,34,5.430800229078159e-06,1.4247600225861095
Erdos-Renyi,Aproximado,36,6.664247484877705e-06,1.4339003387916431
Erdos-Renyi,Aproximado,38,6.3751998823136095e-06,1.3743377926421405
