Gerador,Algoritmo,Vertices,Tempo Médio (s)
Erdos-Renyi,Exato,2,9.481400229560678e-06
Erdos-Renyi,Exato,4,2.4669599770277274e-05
Erdos-Renyi,Exato,6,6.514440028695389e-05
Erdos-Renyi,Exato,8,5.1202000031480564e-05
Erdos-Renyi,Exato,10,0.00010603900009300559
Erdos-Renyi,Exato,12,0.00012328800003160722
Erdos-Renyi,Exato,14,0.00030964280012995004
Erdos-Renyi,Exato,16,0.0005420925999715109
Erdos-Renyi,Exato,18,0.0007399959997201222
Erdos-Renyi,Exato,20,0.0035487933999320377
Erdos-Renyi,Exato,22,0.01590207619992725
Erdos-Renyi,Exato,24,0.029034978799791132
Erdos-Renyi,Exato,26,0.07111630639992654
Erdos-Renyi,Exato,28,0.2417642986001738
Erdos-Renyi,Exato,30,1.0205912843999614
Erdos-Renyi,Exato,32,0.49648265819978404
Erdos-Renyi,Exato,34,1.654729223600225
Erdos-Renyi,Exato,36,25.053947310400144
Erdos-Renyi,Exato,38,48.48183791939973
Erdos-Renyi,Exato,40,103.24319124500016
