Gerador,Algoritmo,Vertices,Tempo Médio (s),Qualidade Média
Erdos-Renyi,IDDFS,2,2.554399543441832e-06,1.0
Erdos-Renyi,IDDFS,4,2.732850407483056e-06,1.0
Erdos-Renyi,IDDFS,6,7.2916984208859505e-06,1.0
Erdos-Renyi,IDDFS,8,9.837649122346192e-06,1.0
Erdos-Renyi,IDDFS,10,2.928764952230267e-05,1.0
Erdos-Renyi,IDDFS,12,8.755500020924955e-05,1.0
Erdos-Renyi,IDDFS,14,0.0002048663969617337,1.0
Erdos-Renyi,IDDFS,16,0.0009303164493758232,1.0
Erdos-Renyi,IDDFS,18,0.0022253860013734085,1.0
Erdos-Renyi,IDDFS,20,0.005339238101441879,1.0
Erdos-Renyi,IDDFS,22,0.012990101651666919,1.0
Erdos-Renyi,IDDFS,24,0.044559229050355496,1.0
Erdos-Renyi,IDDFS,26,0.13314418969821418,1.0
Erdos-Renyi,IDDFS,28,0.3582807067512476,1.0
Erdos-Renyi,IDDFS,30,1.0815634304482955,1.0
Erdos-Renyi,IDDFS,32,4.009665573451639,1.0
Erdos-Renyi,IDDFS,34,9.915651436852205,1.0
Erdos-Renyi,IDDFS,36,28.090786038499935,1.0
Erdos-Renyi,IDDFS,38,152.37082493684937,1.0
