Algoritmo,Vertices,Tempo (s)
Aproximado,100,9.800400039239322e-06
Aproximado,4096,0.00043074280010841904
Aproximado,8092,0.000891940949986747
Aproximado,12088,0.0013123940748755558
Aproximado,16084,0.0017636166999182024
Aproximado,20080,0.002227381874945422
Aproximado,24076,0.002662454324945429
Aproximado,28072,0.003232753449901793
Aproximado,32068,0.0037078097251196595
Aproximado,36064,0.0042359425999620726
Aproximado,40060,0.00474068925013853
Aproximado,44056,0.0052453208998940685
Aproximado,48052,0.006010565674978352
Aproximado,52048,0.0063243519749448755
Aproximado,56044,0.006680343850075587
Aproximado,60040,0.007193692625014592
Aproximado,64036,0.0078000360501391695
Aproximado,68032,0.00824379052482982
Aproximado,72028,0.008779621725079779
Aproximado,76024,0.009315675899870257
Aproximado,80020,0.009869359599952077
Aproximado,84016,0.010391897725139643
Aproximado,88012,0.011319257449895304
Aproximado,92008,0.01222291292515365
Aproximado,96004,0.012909212550221127
Aproximado,100000,0.013116158550019463
