# Modelo: Erdos Renyi
# Parâmetros: {'n': 31, 'p': 0.2}
# Vértices: 31
# Arestas: 83
# FromNodeId	ToNodeId
0	2
0	8
0	10
0	13
0	14
0	20
0	24
0	27
0	28
1	13
1	16
1	18
1	28
1	30
2	11
3	5
3	6
3	7
3	11
3	17
3	23
3	30
4	10
4	15
4	17
4	22
4	25
4	27
4	30
5	20
5	26
6	7
6	11
6	17
6	18
6	25
6	30
7	16
7	22
7	26
8	15
8	21
8	25
8	27
8	28
9	11
9	28
10	12
10	19
10	25
10	30
11	12
11	13
11	24
11	27
12	16
12	17
12	23
12	24
13	15
13	20
13	26
14	19
14	28
14	29
15	24
15	26
15	29
16	25
17	19
17	30
18	26
19	26
19	27
20	25
20	26
20	30
21	24
21	29
22	24
22	26
22	29
27	29
