# Modelo: Erdos Renyi
# Parametros: {'n': 35, 'p': 0.2}
# Vertices: 35
# Arestas: 110
# FromNodeId	ToNodeId
0	2
0	8
0	10
0	13
0	14
0	20
0	24
0	27
0	28
1	9
1	12
1	14
1	24
1	26
2	3
2	24
2	25
2	26
2	30
3	5
3	11
3	18
3	24
3	29
3	31
4	6
4	9
4	11
4	14
4	29
5	6
5	11
5	15
5	21
5	22
5	29
5	34
6	15
6	21
6	25
7	9
7	15
7	19
7	21
7	22
7	26
8	17
8	21
8	28
8	34
9	14
9	15
9	16
9	27
9	30
10	13
10	14
10	20
10	21
10	29
10	34
11	17
11	26
12	13
12	14
12	24
12	26
12	29
13	18
13	25
14	16
14	24
15	16
15	17
15	25
15	26
15	30
15	33
16	20
16	23
16	25
16	28
18	20
18	25
18	29
19	26
20	24
20	28
20	30
20	32
21	22
21	24
21	26
22	23
22	24
22	33
22	34
23	24
23	25
23	31
23	34
24	27
24	28
24	34
25	28
25	32
26	34
29	33
31	32
31	34
