# Modelo: Watts Strogatz
# Parâmetros: {'n': 90, 'k': 4, 'p': 0.25}
# Vértices: 90
# Arestas: 180
# FromNodeId	ToNodeId
0	1
0	89
0	2
0	88
0	85
1	3
1	89
1	35
2	17
2	33
3	4
3	5
4	5
4	6
4	56
5	6
5	7
6	54
6	75
6	80
7	9
7	11
8	10
8	64
8	41
8	46
9	10
9	11
9	72
10	11
10	20
11	12
11	13
12	13
12	14
12	58
13	14
13	15
14	15
14	41
15	16
15	17
16	17
16	46
17	18
17	19
18	20
18	54
19	20
19	21
20	43
20	77
20	72
21	23
21	48
22	44
22	62
23	24
23	25
23	70
24	25
24	26
24	68
25	26
25	27
26	27
26	43
26	84
27	28
27	29
28	29
28	30
28	44
29	30
29	31
29	35
30	31
30	32
30	49
31	32
31	33
31	48
32	33
32	69
33	34
33	35
34	35
34	36
35	37
36	37
36	38
37	38
37	39
38	39
38	40
39	40
39	41
40	41
40	42
41	42
41	53
42	43
42	44
43	45
44	45
45	46
45	80
46	47
47	49
47	81
48	50
48	49
48	80
50	51
50	52
51	52
51	53
51	65
52	53
52	54
53	55
54	55
54	56
55	56
55	57
56	60
57	58
57	59
57	69
58	59
59	61
59	72
60	61
60	62
61	62
61	63
62	63
62	64
62	81
63	64
63	74
63	83
64	65
64	66
65	66
66	67
66	68
67	69
67	71
68	69
68	87
69	70
69	76
70	71
71	72
71	73
72	73
73	74
73	75
74	76
75	77
76	77
77	79
78	79
78	80
79	80
79	81
80	82
81	82
82	83
82	84
83	84
83	85
84	85
84	86
85	86
86	87
86	88
87	89
88	89
